timestamp_iso,unix_seconds,lag_seconds,ready_tasks_count
2026-05-13 13:12:44,1778677964,17468,32,498
2026-05-13 13:12:49,1778677969,17469,70,507
2026-05-13 13:12:54,1778677974,17471,63,526
2026-05-13 13:12:59,1778677979,17472,88,546
2026-05-13 13:13:04,1778677984,17477,89,566
2026-05-13 13:13:09,1778677989,17481,46,587
2026-05-13 13:13:14,1778677994,17486,46,605
2026-05-13 13:13:19,1778677999,17491,46,626
2026-05-13 13:13:24,1778678004,17496,47,645
2026-05-13 13:13:29,1778678009,17501,48,664
2026-05-13 13:13:34,1778678014,17506,49,682
2026-05-13 13:13:39,1778678019,17511,49,701
2026-05-13 13:13:44,1778678024,17516,50,720
2026-05-13 13:13:49,1778678029,17521,51,738
2026-05-13 13:13:54,1778678034,17526,51,756
2026-05-13 13:13:59,1778678039,17531,52,775
2026-05-13 13:14:04,1778678044,17536,52,794
2026-05-13 13:14:09,1778678049,17541,12,813
2026-05-13 13:14:14,1778678054,17546,13,832
2026-05-13 13:14:19,1778678059,17551,13,851
2026-05-13 13:14:24,1778678064,17556,14,870
2026-05-13 13:14:29,1778678069,17561,15,889
2026-05-13 13:14:34,1778678074,17565,53,886
2026-05-13 13:14:39,1778678079,1764,67,882
2026-05-13 13:14:44,1778678084,1765,57,878
2026-05-13 13:14:49,1778678089,1765,83,872
2026-05-13 13:14:54,1778678094,1767,57,868
2026-05-13 13:14:59,1778678099,1765,78,863
2026-05-13 13:15:04,1778678104,1760,45,856
2026-05-13 13:15:09,1778678109,1763,39,853
2026-05-13 13:15:14,1778678114,1764,88,848
2026-05-13 13:15:19,1778678119,1764,75,842
2026-05-13 13:15:24,1778678124,1763,78,837
2026-05-13 13:15:29,1778678129,1765,04,833
2026-05-13 13:15:34,1778678134,1764,26,828
2026-05-13 13:15:39,1778678139,1762,60,822
2026-05-13 13:15:44,1778678144,1764,29,817
2026-05-13 13:15:49,1778678149,1764,18,811
2026-05-13 13:15:54,1778678154,1762,18,806
2026-05-13 13:15:59,1778678159,1761,37,801
2026-05-13 13:16:04,1778678164,1759,95,796
2026-05-13 13:16:09,1778678169,1759,36,791
2026-05-13 13:16:14,1778678174,1759,60,787
2026-05-13 13:16:19,1778678179,1689,06,783
2026-05-13 13:16:24,1778678184,1687,90,779
2026-05-13 13:16:29,1778678189,1691,67,775
2026-05-13 13:16:34,1778678194,1695,65,770
2026-05-13 13:16:39,1778678199,1699,43,764
2026-05-13 13:16:44,1778678204,1809,31,762
2026-05-13 13:16:49,1778678209,1707,39,755
2026-05-13 13:16:54,1778678214,1711,16,751
2026-05-13 13:16:59,1778678219,1715,55,748
2026-05-13 13:17:04,1778678224,1719,12,743
2026-05-13 13:17:09,1778678229,1722,70,738
2026-05-13 13:17:14,1778678234,1726,47,733
2026-05-13 13:17:19,1778678239,1730,67,729
2026-05-13 13:17:24,1778678244,1734,85,726
2026-05-13 13:17:29,1778678249,1738,85,721
2026-05-13 13:17:34,1778678254,17811,89,717
2026-05-13 13:17:39,1778678259,1746,60,711
2026-05-13 13:17:44,1778678264,1750,57,706
2026-05-13 13:17:49,1778678269,1754,53,701
2026-05-13 13:17:54,1778678274,1758,11,695
2026-05-13 13:17:59,1778678279,1761,69,691
2026-05-13 13:18:04,1778678284,1765,66,686
2026-05-13 13:18:09,1778678289,1769,23,680
2026-05-13 13:18:14,1778678294,1772,80,674
2026-05-13 13:18:19,1778678299,1775,97,669
2026-05-13 13:18:24,1778678304,1779,93,664
2026-05-13 13:18:29,1778678309,1784,32,661
2026-05-13 13:18:34,1778678314,1788,10,655
2026-05-13 13:18:39,1778678319,1791,87,650
2026-05-13 13:18:44,1778678324,1795,85,645
2026-05-13 13:18:49,1778678329,1799,82,641
2026-05-13 13:18:54,1778678334,1803,39,635
2026-05-13 13:18:59,1778678339,1807,37,631
2026-05-13 13:19:04,1778678344,1811,64,627
